Texas State,Ohio,59.5,+18,09/03/2016,2016-09-03 14:36:22.398801
North Carolina,Georgia,59.5,+3.5,09/03/2016,2016-09-03 14:36:22.398801
Northern Illinois,Wyoming,54,-7.5,09/03/2016,2016-09-03 14:36:22.398801
UCLA,Texas A&M,54,+4,09/03/2016,2016-09-03 14:42:22.773651
UCLA,Texas A&M,54,+5,09/03/2016,2016-09-03 14:48:22.377955
Louisiana Tech,Arkansas,53,+21,09/03/2016,2016-09-03 14:48:22.377955
Massachusetts,Florida,51,+35.5,09/03/2016,2016-09-03 14:48:22.377955
UCLA,Texas A&M,54,+4.5,09/03/2016,2016-09-03 14:54:16.378129
Louisiana Tech,Arkansas,53,+21.5,09/03/2016,2016-09-03 14:54:16.378129
San Jose State,Tulsa,69,+5,09/03/2016,2016-09-03 15:00:24.240476
Fresno State,Nebraska,63,+29,09/03/2016,2016-09-03 15:00:24.240476
UCLA,Texas A&M,55,+4.5,09/03/2016,2016-09-03 15:06:21.523889
Miami Ohio,Iowa,51.5,+28,09/03/2016,2016-09-03 15:12:11.049160
UCLA,Texas A&M,55,+4,09/03/2016,2016-09-03 15:12:11.049160
BYU,Arizona,63,-1.5,09/03/2016,2016-09-03 15:12:11.049160
UCLA,Texas A&M,55.5,+4,09/03/2016,2016-09-03 15:18:15.181381
Kent State,Penn State,44,+24,09/03/2016,2016-09-03 15:24:06.627930
UCLA,Texas A&M,56,+4,09/03/2016,2016-09-03 15:30:21.424191
LSU,Wisconsin,44.5,-13.5,09/03/2016,2016-09-03 15:36:16.665516
Massachusetts,Florida,51,+35,09/03/2016,2016-09-03 15:42:13.055280
Louisiana Tech,Arkansas,53.5,+22,09/03/2016,2016-09-03 15:54:20.935637
SMU,North Texas,67,-8,09/03/2016,2016-09-03 15:54:20.935637
San Jose State,Tulsa,69,+4.5,09/03/2016,2016-09-03 15:54:20.935637
New Mexico State,UTEP,59.5,+9.5,09/03/2016,2016-09-03 16:18:05.963729
USC,Alabama,51.5,+12.5,09/03/2016,2016-09-03 16:18:05.963729
North Carolina,Georgia,60,+3.5,09/03/2016,2016-09-03 16:30:17.279117
USC,Alabama,51.5,+13,09/03/2016,2016-09-03 16:54:20.708852
Northern Illinois,Wyoming,54.5,-7.5,09/03/2016,2016-09-03 17:00:16.750590
Northern Illinois,Wyoming,54.5,-7,09/03/2016,2016-09-03 17:06:10.453847
North Carolina,Georgia,60.5,+3.5,09/03/2016,2016-09-03 17:24:11.121634
North Carolina,Georgia,60.5,+4,09/03/2016,2016-09-03 17:30:18.390765
San Jose State,Tulsa,69,+4,09/03/2016,2016-09-03 17:42:12.647951
New Mexico State,UTEP,59.5,+9,09/03/2016,2016-09-03 17:42:12.647951
SMU,North Texas,66.5,-8,09/03/2016,2016-09-03 17:48:10.259122
San Jose State,Tulsa,68,+4,09/03/2016,2016-09-03 17:48:10.259122
New Mexico State,UTEP,58.5,+9,09/03/2016,2016-09-03 17:48:10.259122
San Jose State,Tulsa,67,+4.5,09/03/2016,2016-09-03 18:18:21.933157
Massachusetts,Florida,51.5,+35.5,09/03/2016,2016-09-03 18:18:21.933157
SMU,North Texas,66,-8,09/03/2016,2016-09-03 18:30:23.228574
